brand,platform,post_url,post_date,post_time,post_type,video_length_seconds,caption_text,hashtags,likes,comments,shares,saves,views,engagement_rate_manual,content_theme,visual_style,caption_tone,cta_type,has_creator_collab,creator_handle,has_music_audio,audio_description,emoji_count_in_caption,caption_word_count,mentions_count,is_paid_partnership,notes
818 Tequila,Instagram,https://www.instagram.com/reel/DTvsTPpEkuZ/,2026-01-20,15:25,Reel,0,"The 818 + blankstreet Matcha Martini

Video by join_jules 
 
RECIPE:
- 2.0 OZ Matcha Infused Tequila
- 0.25 OZ Honey 
- 0.5 OZ Dry Vermouth

MATCHA INFUSION PREP:
1. Infuse 8 grams of Blank Street Matcha into the tequila bottle.
2. Seal the bottle and refrigerate for at least 2 hours.
3. Strain out the matcha before using the tequila for cocktail prep.

COCKTAIL PREP:
1. Fill a chilled coupe glass with ice and dry vermouth to coat the inside. Set aside.
2. In a mixing glass, combine Matcha-infused tequila and honey. Add ice and stir for 1 minute until well chilled.
3. Discard the ice and any excess vermouth from the coupe glass.
4. Place a large ice cube in the coupe using tongs. Lightly dust the cube with dry matcha powder using a matcha strainer.
5. Strain the chilled cocktail into the prepared coupe over the matcha-dusted ice cube.",,16310,336,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,151,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/reel/DUJtHeClfGy/,2026-01-30,17:30,Reel,0,"The process, perfected. We collaborated with the legendary mustard to turn our cork pop into a musical masterpiece. The result? Simply perfect.

#PATRONxGRAMMYS",#PATRONxGRAMMYS,3993,56,0,0,0,,Creator Collab / UGC,Raw / UGC-style,Aspirational / Lifestyle,None,No,,Yes,,0,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTQ5bs2knb_/,2026-01-08,16:00,Carousel,0,Añejo hour at the cottage,,2673,87,0,0,0,,Education (Tequila 101),Animation / Motion Graphics,Casual / Conversational,None,No,,No,,0,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTi66phCWLO/,2026-01-15,16:00,Carousel,0,"Music’s most iconic night deserves tequila’s most elegant bottle. PATRÓN is the official tequila partner of the 2026 GRAMMY Awards. 
 
#PATRONTequila #PATRONELALTO #PATRONxGRAMMYS",#PATRONTequila #PATRONELALTO #PATRONxGRAMMYS,2421,76,0,0,0,,Product Showcase,Polished / Studio,Premium / Luxury,None,No,,No,,0,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DT8kHLukjwP/,2026-01-25,15:01,Carousel,0,Snow days with alexandraacastle_,,2278,56,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,4,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/reel/DT08CnmEoYU/,2026-01-22,15:57,Reel,0,"818 Chamomile Hot Toddy 🍋

RECIPE: 
- 1.5 OZ Chamomile-Infused 818 Tequila Reposado
- 0.75 OZ Honey Syrup
- 1 Dash Angostura Bitters
- 4 OZ Boiling Water
- 2 Lemon Wedges
- Cinnamon Stick

For the Chamomile-Infused Tequila:
1. Combine 5 grams of chamomile flowers (or three bags of chamomile tea) and 25 oz of 818 Reposado (1 bottle).
2. Let sit for 1-2 hours, stirring occasionally.
3. Strain through a coffee filter, discarding the solids.

For the Cocktail:
1. Squeeze the lemon wedges into a heat-safe mug or glass, then add in remaining ingredients except for the boiling water.
2. Carefully pour in the boiling water, and garnish with fresh lemon wedges and a cinnamon stick.",,1921,65,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,1,118,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DT-7w1aAQue/,2026-01-26,13:17,Reel,0,"#ad On the ground at the Sundance Film Festival with Casamigos Correspondent notskinnybutnotfat 
 
Enjoy responsibly. Diageo New York, NY. Don’t share with anyone under 21 years old.",#ad,1830,60,0,0,0,,Music / Party,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,27,0,Yes,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTONwzGj1Zm/,2026-01-07,15:00,Carousel,0,Snowy season,,1482,46,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,2,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DUByXPekhWG/,2026-01-27,15:41,Carousel,0,Our winter vibe,,1396,50,0,0,0,,Giveaway / Promo,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,3,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTV8E_FkhNX/,2026-01-10,15:00,Carousel,0,Warm up with the 818 Orange Rosemary Hot Toddy,,1251,65,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,9,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
