brand,platform,post_date,post_type,content_theme,collaboration,content_pillar,sku,content_mix_funnel,post_url,likes,comments,shares,saves,views
Jose Cuervo,Instagram,2026-03-12,Carousel,Meme/Humor,Cuervo,The Front Row,Especial,Entertain,https://www.instagram.com/p/DVzvUvSDYz3/,110.0,5,9.0,2,
Jose Cuervo,Instagram,2026-03-09,Reel,Partner,Partner,The Front Row,,Entertain,https://www.instagram.com/reel/DVrc-nUDw9M/,50.0,2,11.0,2,3435.0
Jose Cuervo,Instagram,2026-03-03,Carousel,Product/Lifestyle,Cuervo,The Ritual,,Convince,https://www.instagram.com/p/DVbS-YNFOQJ/,74.0,2,0.0,3,
Jose Cuervo,Instagram,2026-02-27,Carousel,Partner,Cuervo,The Front Row,,Entertain,https://www.instagram.com/p/DVSIfV8ja_J/,104.0,7,8.0,3,
Jose Cuervo,Instagram,2026-02-22,Carousel,Product/Lifestyle,Cuervo,The Pulse,,Educate,https://www.instagram.com/p/DVEpuEdDziZ/,91.0,5,14.0,8,
Jose Cuervo,Instagram,2026-02-18,Reel,,Influencer,The Craft,,Edutain,https://www.instagram.com/p/DU6ItbUD6Au/,591.0,26,26.0,5,
Jose Cuervo,Instagram,2026-02-17,Reel,,Influencer,The Craft,,Edutain,https://www.instagram.com/p/DU4Gem9kiG4/,179.0,55,8.0,3,
Jose Cuervo,Instagram,2026-02-17,Reel,,Partner,The Front Row,,Entertain,https://www.instagram.com/p/DU3c9hoDIpi/,2307.0,288,1965.0,203,
Jose Cuervo,Instagram,2026-02-16,Reel,,Influencer,The Craft,,Edutain,https://www.instagram.com/p/DU0dhkBFhW6/,10100.0,27,295.0,44,
Jose Cuervo,Instagram,2026-02-13,Reel,,Influencer,The Craft,,Edutain,https://www.instagram.com/p/DUtrqfUEkMu/,1846.0,29,22.0,1,
Jose Cuervo,Instagram,2026-02-10,Carousel,Event/Activation,Partner,The Front Row,,Entertain,https://www.instagram.com/p/DUlMrQgjNfW/,614.0,21,97.0,13,
Jose Cuervo,Instagram,2026-02-06,Reel,,Collective,The Craft,,Entertain,https://www.instagram.com/p/DUbNs6GgIGt/,,21,,1,
Jose Cuervo,Instagram,2026-02-07,Carousel,Brand Heritage / Culture,Cuervo,The Craft,,Educate,https://www.instagram.com/p/DUeHg8tiYpl/,33.0,1,0.0,1,
Jose Cuervo,Instagram,2026-02-02,Carousel,Brand Heritage / Culture,Cuervo,The Craft,,Educate,https://www.instagram.com/p/DUR5qa1Ddjb/,54.0,0,0.0,2,
Jose Cuervo,Instagram,2026-02-02,Reel,,Collective,The Craft,,Entertain,https://www.instagram.com/p/DUQ_oQNkTVA/,87.0,9,9.0,1,3400.0
